docId	title	知识点标签
591	[ABC096A] Day of Takahashi 统计指定日期范围内的高桥日	循环结构, 数学基础
592	[ABC096B] Maximum Sum 最大化黑板数字和	贪心
593	[ABC096C] Grid Repainting 2 网格图相邻黑格判断	模拟, 暴力枚举
594	[ABC097A] Colorful Transceivers A和C的通信判断	条件结构, 数学基础
595	[ABC097B] Exponential 不大于X的最大完全幂	暴力枚举, 数学函数, 数论基础
596	[ABC098A] Add Sub Mul 求和差积最大值	数学基础, 条件结构
597	[ABC098B] Cut and Count 字符串分割最大共同字符数	暴力枚举, 模拟, STL
1	[ABC099A] ABD 比赛标签前缀判断	条件结构
2	[ABC099B] Stone Monument  计算积雪深度	数学基础
3	[ABC099C] Strange Bank 奇怪的银行取款	DP, 线性DP
4	[ABC099D] Good Grid 好网格	贪心, 暴力枚举
5	[ABC100A] Happy Birthday! 生日蛋糕分配	模拟, 数学函数, 暴力枚举
6	[ABC100B] Favorite Numbers 喜爱数字	数学函数, 模拟, 暴力枚举
7	[ABC100C] *3 or /2 乘3或除以2的最大操作次数 数列乘3或除2的最大操作次数	贪心, 数学基础, 模拟
8	[ABC100D] Patisserie ABC 蛋糕选择最大绝对值和 蛋糕选择最大化绝对值和	贪心, 排序, 暴力枚举
9	[ABC101A] Eating Symbols Easy 加减符号序列求和 加减符号计算	循环结构, 条件结构
10	[ABC101B] Digit Sums 数位和判断	循环结构, 数学基础
11	[ABC102A] Multiple of 2 and N 2和N的最小公倍数	数学基础, 条件结构
12	[ABC102B] Maximum Difference 最大差值	循环结构, 数学基础, 一维数组
13	[ABC103A] Task Scheduling Problem 任务调度	暴力枚举, 模拟, 数学函数
14	[ABC103B] String Rotation 字符串循环移位判断	字符串, 模拟
15	[ABC103C] Modulo Summation 取模求和最大值	数论基础, DFS, 数学基础
16	[ABC103D] Islands War 岛屿战争	贪心, 排序, 前缀和
17	[ABC104A] Rated for Me 比赛等级	条件结构
18	[ABC104B] AcCepted 字符串格式判断	字符串, 模拟
19	[ABC104C] All Green 全绿目标	贪心, 暴力枚举, DFS, 位运算, DP
20	[ABC104D] We Love ABC 子序列计数	DP, 线性DP
21	[ABC105A] AtCoder Crackers 公平分饼干的最小差值 饼干公平分配最小差值	数学基础, 条件结构
22	[ABC105B] Cakes and Donuts 蛋糕甜甜圈购买方案	暴力枚举
23	[ABC105C] Base -2 Number 负二进制数转换	数论基础, 递归
24	[ABC105D] Candy Distribution 前缀和取模计数	前缀和, 数论基础, STL
25	[ABC106A] Garden 花园道路分割面积	数学基础
26	[ABC106B] 105 统计N以内八因数奇数	暴力枚举, 数学基础, 数论基础
27	[ABC106C] To Infinity 字符串指数增长取K位字符	递归, 数学基础
28	[ABC106D] AtCoder Express 2 区间列车统计与二维前缀和	二维DP, 前缀和
29	[ABC107A] Train 火车车厢从尾部开始的编号	数学基础
30	[ABC107B] Grid Compression 网格白色行/列移除	二维数组, 字符串
31	[ABC108A] Pair 统计范围内奇偶数对	数学基础
32	[ABC108B] Ruined Square 复原正方形顶点坐标	数学基础
33	[ABC109A] ABC333 判断三数乘积能否为奇数	数学基础, 条件结构
34	[ABC109B] Shiritori 验证接龙游戏规则	模拟, 字符串, STL
35	[ABC109C] Skip 最大跳跃步长	数论基础
36	[ABC109D] Make Them Even 网格硬币奇偶性最大化	贪心, 模拟, 构造
37	[ABC110A] Maximize the Formula 三数加法最大化	暴力枚举, 模拟
38	[ABC110B] 1 Dimensional World s Tale 一维世界边界点判定	循环结构, 条件结构
39	[ABC110C] String Transformation 字符串字符映射判断	贪心, STL, 字符串
40	[ABC110D] Factorization N个数乘积为M的序列计数	数论基础, 组合数学, 暴力枚举
41	[ABC111A] AtCoder Beginner Contest 999 数字1和9互换	条件结构, 数学基础
42	[ABC111B] AtCoder Beginner Contest 111 寻找最小同位三位数	循环结构, 条件结构, 暴力枚举
43	[ABC112A] Programming Education 条件判断与基本运算	条件结构, 数学基础
44	[ABC112B] Time Limit Exceeded 限制时间最小成本路线	循环结构, 条件结构
45	[ABC112C] Pyramid 金字塔中心与高度求解	暴力枚举, 数学基础
46	[ABC112D] Partition 序列最大公约数最大值	数论基础
47	[ABC113A] Discount Fare 计算折扣后总票价	数学基础, 顺序结构
48	[ABC113B] Palace 宫殿选址：寻找最接近目标温度地点	模拟, 暴力枚举
49	[ABC113C] ID 县市识别编号分配	排序, STL, 离散化
50	[ABC113D] Number of Amidakuji 阿弥陀签路径计数	DP, 线性DP, 暴力枚举
51	[ABC114A] 753 七五三年龄判断	条件结构
52	[ABC114B] 754 寻找与753最接近的三位数字	字符串, 循环结构, 暴力枚举
53	[ABC114C] 755 统计特定数字组成的七五三数	DFS, 递归
54	[ABC114D] 756 N阶乘的75约数计数	数论基础, 素数筛, DP
55	[ABC115A] Christmas Eve Eve Eve 圣诞节日期判断	条件结构
56	[ABC115B] Christmas Eve Eve 商品半价购买总价计算	循环结构, 数学基础, 贪心
57	[ABC115C] Christmas Eve 最小化K棵树的高度差	排序, 双指针, 贪心, 暴力枚举
58	[ABC115D] Christmas 递归计算汉堡肉饼数量	递归, 线性DP, DFS
59	[ABC116A] Right Triangle 直角三角形面积计算	数学基础, 顺序结构
60	[ABC116B] Collatz Problem Collatz数列循环检测	模拟, 一维数组
61	[ABC116C] Grand Garden 花园浇水最小操作数	差分, 贪心
62	[ABC116D] Various Sushi 寿司美味度最大化	贪心, 优先队列
63	[ABC117A] Entrance Examination 时间流逝计算	数学基础, 顺序结构
64	[ABC117B] Polygon 判断多边形能否构成	循环结构, 数学基础
65	[ABC117C] Streamline 最小化棋子移动覆盖区间	贪心, 排序
66	[ABC117D] XXOR 最大异或和与K的限制	贪心, 位运算, 数位DP
67	[ABC118A] B +/- A 约数判断与加减法	条件结构, 数学基础
68	[ABC118B] Foods Loved by Everyone 统计所有列表共同出现的元素	暴力枚举, 模拟
69	[ABC118C] Monsters Battle Royale 怪兽决斗：求最大公约数	其他, 数学, 数论基础
70	[ABC118D] Match Matching 火柴棒构成最大整数	DP, 线性DP
71	[ABC119A] Still TBD 平成时代日期判断	字符串
72	[ABC119B] Digital Gifts 红包金额计算与货币转换	条件结构, 循环结构
73	[ABC119C] Synthetic Kadomatsu 魔法竹子合成最小MP	DFS, 暴力枚举, 位运算, 递归
74	[ABC119D] Lazy Faith 最小移动距离：访问神社与寺庙	二分, 贪心
75	[ABC120A] Favorite Sound 计算可听声音次数	数学基础, 条件结构
76	[ABC120B] K-th Common Divisor 第K大公约数	暴力枚举, 数学函数, 数论基础
77	[ABC120C] Unification 方块消除游戏	栈, 模拟, 贪心
78	[ABC120D] Decayed Bridges 动态连通性：修路后不连通花园对数	北辰杯5月月赛, 并查集, 离线算法
79	[ABC121A] White Cells 网格涂色剩余白色单元格	数学基础
80	[ABC121B] Can you solve this? 判断代码正确性	循环嵌套, 模拟, 暴力枚举
81	[ABC121C] Energy Drink Collector 能量饮料收集最小花费	贪心, 排序
82	[ABC121D] XOR World 区间异或和查询	数论基础, 前缀和, 位运算, 数位DP
83	[ABC122A] Double Helix 碱基配对	条件结构
84	[ABC122B] ATCoder 最长ACGT子串长度	循环结构, 条件结构, 暴力枚举, 字符串
85	[ABC122C] GeT AC 子串AC计数（区间查询）	前缀和, 字符串
86	[ABC122D] We Like AGC 字符串计数与相邻交换限制	DP, 线性DP, 暴力枚举
87	[ABC123A] Five Antennas 天线通信距离判断	暴力枚举, 循环嵌套
88	[ABC123B] Five Dishes 最小化点餐等待时间	贪心, 排序, 暴力枚举
89	[ABC123C] Five Transportations 最短交通时间	贪心, 数学基础
90	[ABC123D] Cake 123 三组数求和前K大	其他, 排序, 贪心, BFS进阶, 优先队列, 组合数学
91	[ABC124A] Buttons 双按钮两次操作最大奖励	模拟, 条件结构, 数学基础
92	[ABC124B] Great Ocean View 统计能眺望大海的客栈数量	暴力, 单调栈, 模拟, 循环结构
93	[ABC124C] Coloring Colorfully 最小交替着色操作数	其他, 构造, 字符串, 模拟, 暴力枚举
94	[ABC124D] Handstand 翻转子串最长连续1	其他, 构造, 前缀和, 双指针, 贪心, 二分
95	[ABC125A] Biscuit Generator 饼干生产数量计算	数学基础, 顺序结构
96	[ABC125B] Resale 宝石价值与成本差最大化	动态规划, 背包, 循环结构, 条件结构
97	[ABC125C] GCD on Blackboard 替换一个数最大化GCD	前缀和, 数论基础, 线段树
98	[ABC125D] Flipping Signs 翻转相邻符号最大化和	其他, 数学, 贪心, 数学基础, DP
99	[ABC126A] Changing a Character 字符串第K个字符转小写	字符串, 一维数组
100	[ABC126B] YYMM or MMYY 日期格式判断	条件结构, 字符串
101	[ABC126C] Dice and Coin 掷骰子硬币游戏获胜概率	概率论, 概率, 概率论基础, 数学基础
102	[ABC126D] Even Relation 树的偶数距离染色	bfs, DFS, BFS, LCA
103	[ABC126E] 1 or 2 序列奇偶性确定最小代价	数据结构, 并查集, 图论基础
104	[ABC126F] XOR Matching 序列异或匹配构造	构造, 位运算
105	[ABC127A] Ferris Wheel 摩天轮票价计算	条件结构, 数学基础
106	[ABC127B] Algae 藻类生长递推计算	循环结构, 数学基础
107	[ABC127C] Prison 通过所有门的ID卡数量	组合数学, 差分, 数学基础
108	[ABC127D] Integer Cards 卡片替换最大和	其他, 排序, 贪心
109	[ABC127E] Cell Distance 网格棋子距离总和	组合数学, 数学基础, 前缀和
110	[ABC127F] Absolute Minima 动态维护绝对值函数最小值	优先队列, 前缀和, STL, 树状数组
111	[ABC128A] Apple Pie 苹果派制作数量计算	数学基础, 顺序结构
112	[ABC128B] Guidebook 餐厅指南：多条件排序	排序, 结构体
113	[ABC128C] Switches 开关状态组合点亮所有灯泡	暴力枚举, 循环嵌套, 位运算
114	[ABC128D] equeue 双端队列取放宝石最大值	暴力枚举, 贪心
115	[ABC128E] Roadwork 道路施工最短阻断距离	线段树, 离线算法, 排序
116	[ABC128F] Frog Jump 青蛙跳跃最大得分	DP, 双指针
117	[ABC129A] Airplane 三城市最短飞行路径	数学基础, 条件结构
118	[ABC129B] Balance 重物分组最小差值	前缀和, 暴力枚举
119	[ABC129C] Typical Stairs 带障碍的爬楼梯方案数	DP, 线性DP
120	[ABC129D] Lamp 网格灯光最大照亮区域	DP, 二维DP, 前缀和
121	[ABC129E] Sum Equals Xor 异或和与和相等对计数	Level5, 线性DP, 数位DP, 计数DP, 暴力枚举, 位运算
122	[ABC129F] Takahashi&amp;#39;s Basics in Education and Learning 等差数列拼接求余	矩阵快速幂, 数论基础
123	[ABC130A] Rounding 条件判断	条件结构
124	[ABC130B] Bounding 数线跳跃次数统计	模拟, 循环结构, 前缀和
125	[ABC130C] Rectangle Cutting 矩形分割最大化较小面积	数学基础, 条件结构
126	[ABC130D] Enough Array 子数组和大于等于K的计数	前缀和, 双指针
127	[ABC130E] Common Subsequence 共同子序列对计数	DP, 线性DP, 暴力枚举, 前缀和
128	[ABC130F] Minimum Bounding Box 移动点最小包围盒面积	三分, 计算几何, 暴力枚举, 二分
129	[ABC131A] Security 安全代码检查	条件结构, 字符串
130	[ABC131B] Bite Eating 选择苹果使派味道最接近	暴力枚举, 数学函数
131	[ABC131C] Anti-Division 区间内不被两数整除的计数	数论基础, 容斥原理
132	[ABC131D] Megalomania 任务调度与截止日期	贪心, 排序
133	[ABC131E] Friendships 构造指定距离2顶点对数的图	构造, 图论基础
134	[ABC131F] Must Be Rectangular! 矩形填充操作计数	并查集, 图论基础, DFS
135	[ABC132A] Fifty-Fifty 判断字符串字符对半出现	字符串, 一维数组
136	[ABC132B] Ordinary Number 排列中三元组的第二小数	循环结构, 条件结构
137	[ABC132C] Divide the Problems 划分问题：统计K值数量	排序
138	[ABC132D] Blue and Red Balls 蓝红球排列计数：分段操作	组合数学
139	[ABC132E] Hopscotch Addict 图上三步跳跃最短路径	BFS进阶, 图论基础, 单源最短路径
140	[ABC132F] Small Products 小乘积序列计数	DP, 数论基础
141	[ABC133A] T or T 计算最小交通费	数学基础, 条件结构
142	[ABC133B] Good Distance 多维空间中整数距离点对计数	循环嵌套, 暴力枚举, 位运算
143	[ABC133C] Remainder Minimization 2019 区间乘积模2019最小值	暴力枚举, 数学基础
144	[ABC133D] Rain Flows into Dams 环形山脉雨水分配计算	前缀和, 数学基础
145	[ABC133E] Virus Tree 2 树上距离2染色方案数	树形结构, DFS进阶, DFS
146	[ABC133F] Colorful Tree 树上路径带颜色边权修改查询	LCA, 树上差分, 倍增, 树链剖分
147	[ABC134A] Dodecagon 正十二边形面积	数学基础
148	[ABC134B] Golden Apple 最少监视员	贪心
149	[ABC134C] Exception Handling 除自身外最大值	贪心, STL, 排序, 前缀和
150	[ABC134D] Preparing Boxes 箱子放球奇偶性问题	数论基础, 前缀和
151	[ABC134E] Sequence Decomposing 序列最小染色：最长下降子序列	DP, 二分
152	[ABC134F] Permutation Oddness 排列怪异度计数	DP, 线性DP
153	[ABC135A] Harmony 寻找两点等距的整数K	数学基础, 条件结构
154	[ABC135B] 0 or 1 Swap 判断至多一次交换能否排序	排序, 模拟, 构造
155	[ABC135C] City Savers 英雄击败怪物最大数量	贪心, 构造
156	[ABC135D] Digits Parade 问号字符串模13余5计数	DP, 线性DP, 数位DP
157	[ABC135E] Golf 高尔夫球最短击球路径	BFS, 数学基础, 贪心, 构造
158	[ABC135F] Strings of Eternity 重复字符串子串最大重复次数	KMP, 二分, 哈希, Z函数
159	[ABC136A] Transfer 容器倒水计算剩余量	数学基础, 条件结构
160	[ABC136B] Uneven Numbers 统计N以内奇数位数正整数个数	数学基础, 循环结构
161	[ABC136C] Build Stairs 调整高度使非递减	贪心
162	[ABC136D] Gathering Children 孩子移动聚集计数	模拟, 贪心, 构造, 倍增
163	[ABC136E] Max GCD 最大公约数与操作次数	数学基础, 二分, 暴力枚举, 数论基础, 前缀和
164	[ABC136F] Enclosed Points 二维点集矩形覆盖计数	扫描线, 线段树, 组合数学, 树状数组
165	[ABC137A] +-x 加减乘最大值	顺序结构, 条件结构
166	[ABC137B] One Clue 数轴上连续黑色石子区域	数学基础, 循环结构
167	[ABC137C] Green Bin 异位词对计数	STL, 哈希, 字符串
168	[ABC137D] Summer Vacation 兼职工作最大报酬	贪心, 优先队列
169	[ABC137E] Coins Respawn	单源最短路径
170	[ABC137F] Polynomial Construction 有限域多项式插值	高斯消元, 数论基础
171	[ABC138A] Red or Not 条件判断输出字符串	条件结构
172	[ABC138B] Resistors in Parallel 并联电阻总阻计算	循环结构, 数学基础
173	[ABC138C] Alchemist 炼金术士最大价值	贪心, 排序
174	[ABC138D] Ki 树上子树更新与求和	DFS, 树形结构, 差分, 图论基础
175	[ABC138E] Strings of Impurity 重复字符串子序列匹配	贪心, 双指针, 二分
176	[ABC138F] Coincidence 异或余数对计数	数位DP, 位运算, DP
177	[ABC139A] Tenki 天气预报准确性统计	循环结构, 条件结构
178	[ABC139B] Power Socket 电源插座扩展最少插排数	数学基础
179	[ABC139C] Lower 最大连续下降或持平子序列长度	贪心, 递推, DP
180	[ABC139D] ModSum 排列求余数和最大值	数学基础, 贪心, 数论基础
181	[ABC139E] League 联赛比赛日程安排	拓扑排序, 图论基础, 贪心, DFS
182	[ABC139F] Engines 向量子集和最大距离	搜索进阶, 计算几何
183	[ABC140A] Password 三位密码组合计数	数学基础
184	[ABC140B] Buffet 自助餐满足度计算	模拟, 一维数组
185	[ABC140C] Maximal Value 序列最大和	贪心, 构造
186	[ABC140D] Face Produces Unhappiness 最大化幸福人数	贪心, 线性DP
187	[ABC140E] Second Sum 区间第二大数之和	单调栈, 离散化, STL
188	[ABC140F] Many Slimes 史莱姆家族体力匹配	DFS进阶, 贪心, 构造
189	[ABC141A] Weather Prediction 天气预测	条件结构
190	[ABC141B] Tap Dance 判断字符串是否符合踢踏舞规则	字符串, 循环结构
191	[ABC141C] Attack Survival 抢答比赛积分计算	一维数组, 算法复杂度, 前缀和, 差分
192	[ABC141D] Powerful Discount Tickets 折扣券最小总金额	优先队列, 贪心
193	[ABC141E] Who Says a Pun? 最长不重叠重复子串	后缀数组, 二分, Z函数
194	[ABC141F] Xor Sum 3 分组异或和最大值	线性基, 贪心, 矩阵快速幂, 位运算
195	[ABC142A] Odds of Oddness 计算1到N中奇数的概率	数学基础
196	[ABC142B] Roller Coaster 统计符合身高要求的人数	循环结构, 条件结构
197	[ABC142C] Go to School 根据到校人数还原学生顺序	一维数组
198	[ABC142D] Disjoint Set of Common Divisors 公约数中互质子集的最大数量	数论基础, 质因数分解, 并查集
199	[ABC142E] Get Everything 最小代价解锁宝箱（状压DP）	状压DP, 位运算
200	[ABC142F] Pure 有向图纯粹子图	图论基础, DFS进阶
201	[ABC143A] Curtain 计算窗帘未遮盖部分长度	条件结构, 数学基础
202	[ABC143B] TAKOYAKI FESTIVAL 2019 章鱼烧体力恢复总和	二维数组, 算法复杂度, 暴力枚举, 组合数学
203	[ABC143C] Slimes 史莱姆融合计数	字符串
204	[ABC143D] Triangles 三条木棍构成三角形计数	排序, 双指针, 贪心, 二分
205	[ABC143E] Travel by Car 驾车旅行最少加油次数	单源最短路径, floyd
206	[ABC143F] Distinct Numbers 卡片抽取最大操作次数	二分, 贪心, 前缀和
207	[ABC144A] 9x9 九九乘法范围判断	条件结构, 数学基础
208	[ABC144B] 81 九九乘法表判断	循环嵌套, 暴力枚举
209	[ABC144C] Walk on Multiplication Table 乘法表最小移动次数	数论基础, 暴力枚举
210	[ABC144D] Water Bottle 长方体水瓶倾斜角度计算	数学基础, 二分
211	[ABC144E] Gluttony 最小化最大时间：二分答案与贪心分配	二分, 贪心
212	[ABC144F] Fork in the Road DAG上期望路径长度最小化	DFS进阶, 期望DP
213	[ABC145A] Circle 计算圆的面积倍数	数学基础
214	[ABC145B] Echo 判断字符串是否为重复串	字符串, 条件结构
215	[ABC145C] Average Length N个城镇全排列路径平均长度	递归, 数学基础, 暴力枚举
216	[ABC145D] Knight 骑士移动路径计数（组合数）	DP, 组合数学
217	[ABC145E] All-you-can-eat 自助餐最大满意度（0/1背包变种）	DP, 背包DP, 排序
218	[ABC145F] Laminate 最小涂色操作	DP, 单调队列
219	[ABC146A] Can&amp;#39;t Wait for Holiday 计算距离下一个星期日的天数	条件结构, 数学基础
220	[ABC146B] ROT N 字符循环位移加密	字符串, 数学基础
221	[ABC146C] Buy an Integer 最大可购买整数	二分, 数学基础
222	[ABC146D] Coloring Edges on Tree 树的边着色	DFS, 图论基础
223	[ABC146E] Rem of Sum is Num 子区间和余数等于长度	前缀和, 哈希, STL
224	[ABC146F] Sugoroku 双六游戏最短路径与字典序	BFS, 线性DP, 贪心, DP
225	[ABC147A] Blackjack 二十一点胜负判断	顺序结构, 条件结构
226	[ABC147B] Palindrome-philia 最小回文串改造次数	字符串, 循环结构, 暴力枚举
227	[ABC147C] HonestOrUnkind2 诚实与虚伪：最大诚实人数	DFS, 暴力枚举, 位运算
228	[ABC147D] Xor Sum 4 异或对求和	位运算, 数学基础, 数论基础
229	[ABC147E] Balanced Path	暴力枚举, DP
230	[ABC147F] Sum Difference 等差数列子集和种类计数	并查集, 离散化, 数论基础
231	[ABC148A] Round One 三选一排除法	数学基础
232	[ABC148B] Strings with the Same Length 等长字符串交错排列	循环结构, 字符串
233	[ABC148C] Snack 零食分配的最小公倍数	数论基础, 暴力枚举
234	[ABC148D] Brick Break 砖块破坏：最小移除使砖块有序	贪心
235	[ABC148E] Double Factorial 双阶乘末尾零计数	数论基础
236	[ABC148F] Playing Tag on Tree 树上捉迷藏：追逐与躲避	BFS进阶, 树上DP, DFS, BFS, 单源最短路径
237	[ABC149A] Strings 字符串连接	字符串
238	[ABC149B] Greedy Takahashi 贪婪吃饼干	数学函数, 模拟
239	[ABC149C] Next Prime 查找大于等于X的最小素数	数论基础
240	[ABC149D] Prediction and Restriction 受限剪刀石头布最大得分	DP, 线性DP, 贪心
241	[ABC149E] Handshake 最大幸福度握手	二分, 双指针
242	[ABC149F] Surrounded Nodes 树上最小连通子图期望价值	树上DP, 概率DP, 概率论基础
243	[ABC150A] 500 Yen Coins 500日元硬币金额判断	条件结构, 数学基础
244	[ABC150B] Count ABC 统计字符串中ABC子串出现次数	字符串, 循环结构, 暴力枚举
245	[ABC150C] Count Order 排列的字典序排名差	数论基础, 递推, 暴力枚举, DFS
246	[ABC150D] Semi Common Multiple 序列半公倍数计数	数论基础, 数学函数
247	[ABC150E] Change a Little Bit 序列修改代价和求和	组合数学, 数学基础, 暴力枚举, 概率论基础
248	[ABC150F] Xor Shift 序列循环移位异或匹配	KMP, 字符串, 哈希, Z函数, 位运算
249	[ABC151A] Next Alphabet 下一个字母	数学基础, 字符串
250	[ABC151B] Achieve the Goal 计算最后一门考试的最低分数	数学基础, 条件结构
251	[ABC151C] Welcome to AtCoder AtCoder竞赛计分	一维数组, 模拟, 构造
252	[ABC151D] Maze Master 迷宫最远可达距离	BFS, 图论基础
253	[ABC151E] Max-Min Sums 子集最大最小和	组合数学, 前缀和, 暴力枚举
254	[ABC151F] Enclose All 点集最小覆盖圆	计算几何, 三分
255	[ABC152A] AC or WA 判断提交是否AC	顺序结构, 条件结构
256	[ABC152B] Comparing Strings 重复数字字符串字典序比较	字符串, 循环结构
257	[ABC152C] Low Elements 前缀最小值计数	模拟, 前缀和
258	[ABC152D] Handstand 2 统计首尾数字匹配的数对	前缀和, 数学基础, 暴力枚举
259	[ABC152E] Flatten 最小公倍数求和	数论基础, 质因数分解
260	[ABC152F] Tree and Constraints 树上路径约束计数	容斥原理, LCA, 暴力枚举
261	[ABC153A] Serval vs Monster 计算击败怪兽所需攻击次数	数学基础
262	[ABC153B] Common Raccoon vs Monster 技能总伤害判断	循环结构, 数学基础
263	[ABC153C] Fennec vs Monster 最小普通攻击次数	贪心, 排序
264	[ABC153D] Caracal vs Monster 打怪最小攻击次数	递归, DFS, DP
265	[ABC153E] Crested Ibis vs Monster 击败怪物最小魔力（完全背包）	DP, 线性DP
266	[ABC153F] Silver Fox vs Monster 炸弹覆盖怪物最少次数	贪心, 前缀和, 双指针
267	[ABC154A] Remaining Balls 根据颜色移除球并计算剩余数量	条件结构, 数学基础
268	[ABC154B] I miss you... 字符串字符替换为x	字符串, 循环结构
269	[ABC154C] Distinct or Not 判断序列元素是否唯一	哈希, 排序, STL
270	[ABC154D] Dice in Line 骰子期望值最大化	前缀和, 贪心, 概率论基础, 双指针
271	[ABC154E] Almost Everywhere Zero 恰好K个非零数位的计数	数位DP, 组合数学, 递归
272	[ABC154F] Many Many Paths 二维路径计数和（组合数求和）	组合数学, 前缀和, 暴力枚举
273	[ABC155A] Poor 判断三元组是否“可怜”	条件结构, 数学基础
274	[ABC155B] Papers, Please 文件整数偶数条件检查	循环结构, 条件结构
275	[ABC155C] Poll 投票结果统计与排序	STL, 排序
276	[ABC155D] Pairs 第K小乘积	二分, 双指针
277	[ABC155E] Payment 最小化数位和：高精度贪心构造	高精度, 贪心, DP
278	[ABC155F] Perils in Parallel 炸弹解除：GF(2)线性方程组	高斯消元, 离散化, 前缀和, 差分
279	[ABC156A] Beginner 计算会员内部评级	条件结构, 数学基础
280	[ABC156B] Digits K进制数的位数计算	数学基础, 循环结构, 数论基础
281	[ABC156C] Rally 数轴集会点费用最小化	一维数组, 数学基础, 暴力枚举
282	[ABC156D] Bouquet 花束组合方案数（排除特定数量）	数论基础, 组合数学
283	[ABC156E] Roaming 房间人数组合计数	DP, 组合数学
284	[ABC156F] Modularness 模数序列递增计数	倍增, 数论基础
285	[ABC157A] Duplex Printing 双面打印所需纸张数	数学基础
286	[ABC157B] Bingo Bingo游戏判定	二维数组, 条件结构, 暴力枚举
287	[ABC157C] Guess The Number N位数字条件匹配	暴力枚举, 模拟
288	[ABC157D] Friend Suggestions 社交平台朋友推荐计数	并查集, 图论基础, DFS
289	[ABC157E] Simple String Queries 字符串区间不同字符查询与修改	Level6, 树状数组, 线段树, 位运算
290	[ABC157F] Yakiniku Optimization Problem 最小化烤肉时间：二分与圆覆盖	二分, 计算几何
291	[ABC158A] Station and Bus 判断车站管理公司是否存在两种	条件结构
292	[ABC158B] Count Balls 重复模式下的蓝球计数	数论基础
293	[ABC158C] Tax Increase 消费税计算免税价格	数学基础, 暴力枚举
294	[ABC158D] String Formation 字符串翻转与两端增删	队列, 模拟
295	[ABC158E] Divisible Substring 可被整除的子串计数	前缀和, 数论基础
