docId	title	知识点标签
296	[ABC158F] Removing Robots 机器人移除组合计数	DP, 单调栈, 树上DP
297	[ABC159A] The Number of Even Pairs 偶数和的球对计数	数学基础, 组合数学
298	[ABC159B] String Palindrome 判断字符串是否为强回文串	字符串
299	[ABC159C] Maximum Volume 直方体最大体积	数学基础, STL
300	[ABC159D] Banned K 移除球后相同数字对数	前缀和, 数学基础, 组合数学, 暴力枚举
301	[ABC159E] Dividing Chocolate 巧克力最小切割	DFS, 贪心, 位运算
302	[ABC159F] Knapsack for All Segments 子段内子序列和为S的计数	DP, 二维DP, 暴力枚举, 区间DP
303	[ABC160A] Coffee 字符串特定位置字符判断	字符串, 条件结构
304	[ABC160B] Golden Coins 硬币兑换最大幸福点数	数学函数, 贪心
305	[ABC160C] Traveling Salesman around Lake 环形房屋最短访问距离	贪心, 数学基础, 暴力枚举
306	[ABC160D] Line++ 特殊图最短路径计数	图论基础, 暴力枚举, 单源最短路径
307	[ABC160E] Red and Green Apples 苹果美味最大化	贪心, 排序
308	[ABC160F] Distributing Integers 树上数字分配方案计数	换根DP
309	[ABC161A] ABC Swap ABC箱子内容交换	顺序结构
310	[ABC161B] Popular Vote 人气商品筛选	模拟, 数学函数, 排序
311	[ABC161C] Replacing Integer 整数替换求模K最小值	数论基础
312	[ABC161D] Lunlun Number 第K小伦伦数	BFS, 模拟, DFS, 递归
313	[ABC161E] Yutori 工作日选择与必须工作日	贪心, 双指针, 前缀和, DP
314	[ABC161F] Division or Subtraction 除法或减法操作使N变为1	数论基础, 数学函数
315	[ABC162A] Lucky 7 幸运数字7判断	条件结构, 数学基础
316	[ABC162B] FizzBuzz Sum FizzBuzz数列求和	数学基础, 模拟
317	[ABC162C] Sum of gcd of Tuples (Easy) 三元组GCD和	数论基础, 前缀和
318	[ABC162D] RGB Triplets RGB三元组计数	前缀和, 暴力枚举
319	[ABC162E] Sum of gcd of Tuples (Hard) 数列最大公约数之和	莫比乌斯反演, 数论基础, 暴力枚举
320	[ABC162F] Select Half 序列非相邻元素定数量最大和	DP, 线性DP
321	[ABC163A] Circle Pond 计算圆的周长	数学基础
322	[ABC163B] Homework 暑假作业：计算最大玩耍天数	循环结构, 条件结构
323	[ABC163C] management 统计直属下属数量	一维数组, 暴力枚举
324	[ABC163D] Sum of Large Numbers 大数序列选择求和种类数	组合数学, DP, 前缀和
325	[ABC163E] Active Infants 最大化幼儿移动快乐值	贪心, 排序
326	[ABC163F] path pass i 树上路径颜色计数	DFS, 树的重心, 倍增, 点分治, 树上DP
327	[ABC164A] Sheep and Wolves 羊群安全判断	条件结构
328	[ABC164B] Battle 怪物对战胜负判断	数学基础, 条件结构
329	[ABC164C] gacha 统计不同奖品种类数量	STL, 排序
330	[ABC164D] Multiple of 2019 子串数值是2019倍数的计数	前缀和, 哈希, 数论基础, DP
331	[ABC164E] Two Currencies 多货币最短路径问题	单源最短路径, 优先队列
332	[ABC164F] I hate Matrix Construction 矩阵位运算约束构造	2-SAT, 强连通分量, 构造
333	[ABC165A] We Love Golf 判断区间内是否存在K的倍数	数学基础, 条件结构, 暴力枚举, 数论基础
334	[ABC165B] 1% 复利计算达到目标金额所需年数	模拟, 循环结构
335	[ABC165C] Many Requirements 非递减数列最大化得分	DFS, 暴力枚举
336	[ABC165D] Floor Function 取整函数表达式最大值	数学基础, 贪心, 数论基础
337	[ABC165E] Rotation Matching 旋转编号匹配方案构造	构造, 数学基础
338	[ABC165F] LIS on Tree 树上路径最长上升子序列	DFS, 二分, 倍增, 线段树
339	[ABC166A] A?C 竞赛类型切换	条件结构, 字符串
340	[ABC166B] Trick or Treat 统计没有糖果的人数	模拟, 暴力枚举
341	[ABC166C] Peaks 寻找好的展望台	图论基础, 贪心, 暴力枚举, 模拟
342	[ABC166D] I hate Factorization 五次方差方程求解	暴力枚举, 函数
343	[ABC166E] This Message Will Self-Destruct in 5s 特殊配对计数	前缀和, 哈希, STL
344	[ABC166F] Three Variables Game 三变量非负操作序列判断	贪心, 模拟
345	[ABC167A] Registration 字符串末尾字符判断	字符串
346	[ABC167B] Easy Linear Programming 最大化卡牌和	贪心
347	[ABC167C] Skill Up 最小花费达成算法理解度目标	暴力枚举, 位运算
348	[ABC167D] Teleporter K次传送：倍增求路径终点	倍增, 图论基础, 模拟
349	[ABC167E] Colorful Blocks 彩色方块涂色方案计数	DP, 组合数学, 暴力枚举
350	[ABC167F] Bracket Sequencing 括号序列排列判断	贪心, 排序, 字符串
351	[ABC168A] ∴ (Therefore) 根据个位判断助数词读法	条件结构, 数学基础
352	[ABC168B] ... (Triple Dots) 字符串截断与省略号	条件结构, 字符串
353	[ABC168C] : (Colon) 时钟指针距离计算	数学基础, 函数
354	[ABC168D] .. (Double Dots) 洞穴道标最短路径指引	BFS, 图论基础
355	[ABC168E] ∙ (Bullet) 沙丁鱼选择：正交向量计数	哈希, 组合数学
356	[ABC168F] . (Single Dot) 栅栏围牧场可达区域面积	并查集, 离散化
357	[ABC169A] Multiplication 1 两数相乘	数学基础
358	[ABC169B] Multiplication 2 序列乘积与溢出判断	高精度, 数学基础
359	[ABC169C] Multiplication 3 大整数乘法与向下取整	数学基础
360	[ABC169D] Div Game 因子游戏：最大化幂次因子操作数	数论基础, 贪心
361	[ABC169E] Count Median 区间中位数可能值计数	排序, 数学基础
362	[ABC169F] Knapsack for All Subsets 所有子集的子集和计数	DP, 二维DP, 暴力枚举
363	[ABC170A] Five Variables 寻找零值变量	循环结构, 条件结构
364	[ABC170B] Crane and Turtle 鹤龟问题	暴力枚举, 数学函数
365	[ABC170C] Forbidden List	暴力枚举
366	[ABC170D] Not Divisible 不可被其他数整除的元素计数	其他, 数学, 数学基础, 暴力枚举, 数论基础
367	[ABC170E] Smart Infants 幼儿园均衡值查询	优先队列, STL, 模拟
368	[ABC170F] Pond Skater 网格最短路：K步跳跃BFS优化	BFS进阶, 图论基础, 单源最短路径
369	[ABC171A] αlphabet 判断字母大小写	条件结构
370	[ABC171B] Mix Juice 购买K种最便宜水果的最小总价	贪心, 排序
371	[ABC171C] One Quadrillion and One Dalmatians 大数进制转换（26进制无0）	数论基础, 高精度
372	[ABC171D] Replacing 数列元素替换求和	前缀和, STL, 模拟
373	[ABC171E] Red Scarf 异或和还原数列	数学基础, 位运算
374	[ABC171F] Strivore 字符串插入操作计数	DP, 线性DP, 组合数学, 暴力枚举
375	[ABC172A] Calc 计算 $a+a^2+a^3$ 的值	顺序结构, 数学基础
376	[ABC172B] Minor Change 字符串最小字符替换次数	循环结构, 条件结构, 贪心, 字符串
377	[ABC172C] Tsundoku 两堆书阅读最大数量	前缀和, 二分, 双指针
378	[ABC172D] Sum of Divisors 因数个数加权求和	数学基础, 前缀和, 数论基础, 暴力枚举
379	[ABC172E] NEQ	暴力枚举
380	[ABC172F] Unfair Nim Nim游戏变种：移动石子构造必胜局面	博弈论, 位运算
381	[ABC173A] Payment 支付找零计算	数学基础, 顺序结构
382	[ABC173B] Judge Status Summary 评测结果统计	循环结构, 条件结构
383	[ABC173C] H and V 网格涂色方案计数	暴力枚举, 位运算
384	[ABC173D] Chat in a Circle 围圈聊天最大舒适度	贪心, 排序
385	[ABC173E] Multiplication 4 K个数乘积最大（含负数取模）	贪心, 双指针
386	[ABC173F] Intervals on Tree 树上区间连通块计数	树形结构, 数学基础, 暴力枚举
387	[ABC174A] Air Conditioner 室温判断空调开关	条件结构
388	[ABC174B] Distance 统计到原点距离小于等于D的点	数学基础, 循环结构, 暴力枚举
389	[ABC174C] Repsept 模K的7序列	数论基础, 模拟, 暴力枚举, DP
390	[ABC174D] Alter Altar 消除WR子串的最小操作数	贪心, 前缀和
391	[ABC174E] Logs 切割木材最小化最大长度	二分, 贪心
392	[ABC174F] Range Set Query 区间不同颜色计数	Level6, 树状数组, 莫队, 分块
393	[ABC175A] Rainy Season 最大连续雨天统计	循环结构, 条件结构, 暴力枚举
394	[ABC175B] Making Triangle 三根木棍构成三角形	暴力枚举, 排序
395	[ABC175C] Walking Takahashi 数轴K步移动最小绝对值	贪心, 数学基础
396	[ABC175D] Moving Piece 棋子循环移动最大分数	倍增, 图论基础
397	[ABC175E] Picking Goods 棋盘路径拾物最大价值	二维DP, DP
398	[ABC175F] Making Palindrome 最小花费回文串	单源最短路径, 优先队列
399	[ABC176A] Takoyaki 章鱼烧制作最少时间	数学基础
400	[ABC176B] Multiple of 9 判断大整数是否为9的倍数	字符串, 数学基础
401	[ABC176C] Step 最小踏台总高	贪心, 前缀和
402	[ABC176D] Wizard in Maze 迷宫0-1最短路	单源最短路径, BFS进阶
403	[ABC176E] Bomber 轰炸机最大摧毁目标数	贪心, DFS, 搜索进阶
404	[ABC176F] Brave CHAIN 卡片消除最大分数	DP, 优先队列
405	[ABC177A] Don&amp;#39;t be late 小明准时到达判断	数学基础, 条件结构
406	[ABC177B] Substring 字符串子串最小修改	字符串, 暴力枚举
407	[ABC177C] Sum of product of pairs 数列成对乘积之和	数学基础, 前缀和, 暴力枚举
408	[ABC177D] Friends 朋友关系分组：最大连通分量大小	图论基础, 并查集, DFS
409	[ABC177E] Coprime	数论基础
410	[ABC177F] I hate Shortest Path Problem 网格最短路径与区间限制	单源最短路径, 优先队列, STL, 线段树
411	[ABC178A] Not 二进制位取反	条件结构
412	[ABC178B] Product Max 区间整数最大乘积	数学基础
413	[ABC178C] Ubiquity 序列计数（容斥原理）	数论基础, 容斥原理, 暴力枚举, DP
414	[ABC178D] Redistribution 数列求和：元素大于等于3的序列计数	DP, 线性DP, 暴力枚举
415	[ABC178E] Dist Max 最大曼哈顿距离	数学基础
416	[ABC178F] Contrast 序列不相等排列判断与构造	贪心, 模拟, 构造
417	[ABC179A] Plural Form 高桥语名词复数形式	字符串
418	[ABC179B] Go to Jail 判断连续三次相同点数	循环结构, 条件结构
419	[ABC179C] A x B + C 满足A*B+C=N的三元组计数	递推, 数学基础, 暴力枚举
420	[ABC179D] Leaping Tak 跳跃方格路径计数	DP, 前缀和
421	[ABC179E] Sequence Sum 数列周期求和	DFS, 模拟, 数论基础, 倍增
422	[ABC179F] Simplified Reversi 网格棋子染色计数	双指针, 离散化, 线段树
423	[ABC180A] box 箱中球数计算	数学基础, 顺序结构
424	[ABC180B] Various distances 计算多维空间三种距离	数学函数, 循环结构
425	[ABC180C] Cream puff 寻找正整数的所有因数	数论基础, 排序
426	[ABC180D] Takahashi Unevolved 宠物养成最大经验值（不进化）	贪心, 数学基础, 三分
427	[ABC180E] Traveling Salesman among Aerial Cities 三维空间旅行商问题	DP, 状压DP
428	[ABC180F] Unbranched 度数限制图的最大连通块计数	计数DP, 组合数学
429	[ABC181A] Heavy Rotation N天后衣服颜色	条件结构, 数学基础
430	[ABC181B] Trapezoid Sum 多区间整数求和	循环结构, 数学基础
431	[ABC181C] Collinearity 判断三点共线	暴力枚举, 数学函数
432	[ABC181D] Hachi 重排数字判断8的倍数	暴力枚举, 数学基础, 数论基础
433	[ABC181E] Transformable Teacher 最小化配对身高差值和	二分, 优先队列, 排序, 前缀和
434	[ABC181F] Silver Woods 最大半径圆移动路径	二分, 并查集
435	[ABC182A] twiblr twiblr 关注数增量计算	顺序结构, 数学基础
436	[ABC182B] Almost GCD 数列最大公约数度	暴力枚举, 数学基础
437	[ABC182C] To 3 最少删除位数使数字为3的倍数	数论基础, 贪心, 位运算
438	[ABC182D] Wandering 机器人漫游最远正向坐标	前缀和, 贪心
439	[ABC182E] Akari 网格灯光照明计数	双指针, BFS进阶, DFS
440	[ABC182F] Valid payments 特殊硬币系统下的支付方案计数	DP, 数位DP
441	[ABC183A] ReLU ReLU函数计算	条件结构
442	[ABC183B] Billiards 台球反弹点计算	数学基础, 函数
443	[ABC183C] Travel 旅行商问题变种：路径计数	DFS, 暴力枚举
444	[ABC183D] Water Heater 热水器供应调度问题	前缀和, 差分
445	[ABC183E] Queen on Grid 网格皇后路径计数	DP, 二维DP, 前缀和
446	[ABC183F] Confluence 并查集维护集合班级统计	并查集, 优先队列
447	[ABC184A] Determinant 计算2x2矩阵行列式	数学基础, 顺序结构
448	[ABC184B] Quizzes 答题分数计算	模拟, 循环结构
449	[ABC184C] Super Ryuma 超级龙马最少移动步数	数学基础, 贪心, 模拟
450	[ABC184D] increment of coins 三硬币增殖达到目标期望操作次数	概率DP, 期望DP
451	[ABC184E] Third Avenue 网格最短路与传送门	BFS进阶, 图论基础, BFS
452	[ABC184F] Programming Contest 0/1背包问题（折半搜索）	搜索进阶, 二分, 折半搜索
453	[ABC185A] ABC Preparation 最多可举办比赛场次	数学基础
454	[ABC185B] Smartphone Addiction 手机电量模拟与状态追踪	模拟, 算法复杂度
455	[ABC185C] Duodecim Ferra 铁棒切割方案数	数论基础, 组合数学
456	[ABC185D] Stamp 盖章涂色最少次数	贪心, 数学基础
457	[ABC185E] Sequence Matching 序列子序列匹配最小代价	DP, 二维DP, 线性DP
458	[ABC185F] Range Xor Query 序列点更新与区间异或查询	Level6, 树状数组, 线段树
459	[ABC186A] Brick 卡车装载砖块数量	数学基础
460	[ABC186B] Blocks on Grid 网格方块调整与求和	二维数组, 数学基础
461	[ABC186C] Unlucky 7 统计不含特定数字的数	进制转换, 暴力枚举
462	[ABC186D] Sum of difference 数组差值绝对值之和	排序, 前缀和
463	[ABC186E] Throne 圆周移动到达目标的最少步数	扩展GCD, 数论基础
464	[ABC186F] Rook on Grid 网格车棋子2步可达区域计数	离散化, 并查集, 树状数组
465	[ABC187A] Large Digits 比较两数数位和	数学基础, 条件结构, 数论基础
466	[ABC187B] Gentle Pairs 平缓点对计数	二维数组, 算法复杂度, 贪心
467	[ABC187C] 1-SAT 查找同时存在正反形式的字符串	STL, 哈希, 字符串
468	[ABC187D] Choose Me 市长选举：最少演说町数	贪心, 排序
469	[ABC187E] Through Path 树上路径更新与差分	DFS, 树形结构, 差分
470	[ABC187F] Close Group 图的最小完全子图划分	状压DP, 图论基础, 位运算
471	[ABC188A] Three-Point Shot 三分球反超判断	条件结构, 数学基础
472	[ABC188B] Orthogonality 判断向量是否正交	循环结构, 数学基础
473	[ABC188C] ABC Tournament 锦标赛亚军选手编号	模拟, 二分, 贪心
474	[ABC188D] Snuke Prime 服务订阅最小费用	前缀和, 差分, 离散化
475	[ABC188E] Peddler DAG上最大利润路径	DFS, DP
476	[ABC188F] +1-1x2 X到Y的最小操作数	BFS, 递归
477	[ABC189A] Slot 老虎机中奖判断	条件结构
479	[ABC189C] Mandarin Orange	贪心, ST表
480	[ABC189D] Logical Expression 逻辑表达式求真值组合数	DP, 线性DP, 递归
481	[ABC189E] Rotate and Flip 几何变换查询：矩阵与离线处理	矩阵快速幂, 离线算法
482	[ABC189F] Sugoroku2 双六游戏期望步数	期望DP, 高斯消元
483	[ABC190A] Very Very Primitive Game 糖果游戏胜负判断	模拟, 条件结构
484	[ABC190B] Magic 3 魔法咒语条件判断	循环结构, 条件结构
485	[ABC190C] Bowls and Dishes 放置球满足条件的最大数量	暴力枚举, 递归, 位运算
486	[ABC190D] Staircase Sequences 等差数列求和计数	数论基础, 质因数分解
487	[ABC190E] Magical Ornament 最短宝石序列（TSP变种）	BFS, 状压DP
488	[ABC190F] Shift and Inversions 序列循环移位逆序对计数	Level6, 树状数组, 离线算法
489	[ABC191A] Vanishing Pitch 魔球是否可击打	数学基础, 条件结构
490	[ABC191B] Remove It 移除数列中指定数值	循环结构, 条件结构
492	[ABC191D] Circle Lattice Points 圆内格点计数	数学基础, 暴力枚举
493	[ABC191E] Come Back Quickly 图上最短环路查询	强连通分量, 单源最短路径
494	[ABC191F] GCD or MIN GCD或MIN操作的最终值种类	数学基础, DFS
495	[ABC192A] Star 金币收集：下一个奖品	数学基础, 条件结构
496	[ABC192B] uNrEaDaBlE sTrInG 判断字符串奇偶位字符大小写	字符串
497	[ABC192C] Kaprekar Number 卡布列克数序列计算	排序, 模拟, 贪心
498	[ABC192D] Base n 基数计数与二分查找	二分, 高精度, 数论基础
499	[ABC192E] Train 带时刻限制的列车最短路径	单源最短路径, 优先队列
500	[ABC192F] Potion 多重背包变种：最小时间魔力值	DP, 背包DP
501	[ABC193A] Discount 计算折扣百分比	数学基础
502	[ABC193B] Play Snuke 购买游戏机最低花费	模拟, 算法复杂度
503	[ABC193C] Unexpressed 统计非幂次表示数	数学基础, STL, 暴力枚举, 数论基础
504	[ABC193D] Poker 扑克牌隐藏牌概率计算	数学基础, 概率论基础, 暴力枚举
505	[ABC193E] Oversleeping 列车停靠与清醒时间交集	扩展GCD, 数论基础
506	[ABC193F] Zebraness 网格最大斑马度（最小割）	网络流
507	[ABC194A] I Scream 冰淇淋分类判断	条件结构
508	[ABC194B] Job Assignment 工作分配最短时间	贪心, 二分
509	[ABC194C] Squared Error 数列差的平方和	数学基础, 前缀和
510	[ABC194D] Journey 图连通的期望操作次数	期望DP, 概率论基础
511	[ABC194E] Mex Min 滑动窗口求子数组最小MEX	双指针, BFS进阶, 线段树
512	[ABC194F] Digits Paradise in Hexadecimal 十六进制数位统计（数位DP）	数位DP, 组合数学
513	[ABC195A] Health M Death 判断倍数关系	数学基础, 条件结构
514	[ABC195B] Many Oranges 橘子总重量与数量范围	数学基础, 二分, 暴力枚举
515	[ABC195C] Comma 数字逗号计数	数学基础, 前缀和, 数论基础
516	[ABC195D] Shipping Center 多查询行李装箱最大价值	贪心, STL
517	[ABC195E] Lucky 7 Battle 数字串7倍数博弈DP	DP, 博弈论
518	[ABC195F] Coprime Present 互素卡片组合计数	状压DP, 数论基础
519	[ABC196A] Difference Max 区间两数差的最大值	数学基础, 顺序结构
520	[ABC196B] Round Down 大数向下取整	高精度, 字符串
521	[ABC196C] Doubled 重复数字计数	数学基础, 暴力枚举, 二分, 数论基础
522	[ABC196D] Hanjo 矩形房间铺瓷砖方案计数	状压DP, 计数DP, DFS
523	[ABC196E] Filters 函数复合求值	模拟, 贪心
524	[ABC196F] Substring 2 字符串子串最小修改	前缀和, 暴力枚举
525	[ABC197A] Rotate 字符串首字符移位	字符串, 顺序结构
526	[ABC197B] Visibility 网格可见性计算	模拟, 循环嵌套, 暴力枚举
527	[ABC197C] ORXOR 数列分区OR异或最小值	DP, 线性DP, 位运算
528	[ABC197D] Opposite 正N边形顶点坐标计算	数学函数, 矩阵快速幂
529	[ABC197E] Traveler 数轴收集球：颜色递增最短路径	DP, 线性DP, 单源最短路径
530	[ABC197F] Construct a Palindrome 图上回文路径最短长度	BFS进阶, 双指针, 单源最短路径
531	[ABC198A] Div 两人分糖果方案计数	数学基础
532	[ABC198B] Palindrome with leading zeros 带前导零的回文数判断	字符串
533	[ABC198C] Compass Walking 圆规行走最少步数	数学基础, 算法复杂度
534	[ABC198D] Send More Money 覆面算：字母数字谜题求解	DFS, 暴力枚举
535	[ABC198E] Unique Color 树上路径颜色唯一性判断	DFS, 树形结构
536	[ABC198F] Cube 立方体填数与Burnside引理	组合数学, 矩阵快速幂
537	[ABC199A] Square Inequality 平方不等式判断	条件结构, 数学基础
538	[ABC199B] Intersection 多个区间交集的整数个数	一维数组, 数学基础
539	[ABC199C] IPFL 字符串分段交换与字符操作	模拟, 字符串
540	[ABC199D] RGB Coloring 2 无向图三染色方案数	DFS, 图论基础, 状压DP
541	[ABC199E] Permutation 带限制条件的排列计数	状压DP, 计数DP
542	[ABC199F] Graph Smoothing 图点权期望与矩阵快速幂	矩阵快速幂, 概率DP
543	[ABC200A] Century 年份与世纪转换	数学基础
544	[ABC200B] 200th ABC-200 K次操作模拟计算N	模拟
545	[ABC200C] Ringo&amp;#39;s Favorite Numbers 2 200的倍数对计数	数论基础, 前缀和
546	[ABC200D] Happy Birthday! 2 子序列和模200相等	BFS, DP, 位运算
547	[ABC200E] Patisserie ABC 2 三元组计数与第K大查询	二分, 组合数学
548	[ABC200F] Minflip Summation 字符串翻转求和（DP+矩阵快速幂）	DP, 矩阵快速幂, 暴力枚举
549	[ABC201A] Tiny Arithmetic Sequence 判断三数能否构成等差数列	排序, 数学基础
550	[ABC201B] Do you know the second highest mountain? 查找第二高山的名称	排序, 结构体
551	[ABC201C] Secret Number 密码条件计数	暴力枚举, 模拟
552	[ABC201D] Game in Momotetsu World 棋盘游戏最优策略	DP, 二维DP, 博弈论
553	[ABC201E] Xor Distances 树上路径异或和求和	DFS, 数学基础, 组合数学, 暴力枚举, 位运算
554	[ABC201F] Insertion Sort 最小化排序移动成本	DP, 线性DP
555	[ABC202A] Three Dice 骰子底面数字总和	数学基础, 顺序结构
556	[ABC202B] 180° 字符串180度旋转	字符串, 模拟
557	[ABC202C] Made Up 序列元素匹配计数	二维数组, 算法复杂度
558	[ABC202D] aab aba baa 字典序第K个字符串	组合数学, 贪心, DP
559	[ABC202E] Count Descendants 树上子孙深度计数查询	DFS, 树状数组, 倍增
560	[ABC202F] Integer Convex Hull 整数凸包面积计数	计算几何, 组合数学, 暴力枚举
561	[ABC203A] Chinchirorin 骰子点数重复判断	条件结构, 顺序结构
562	[ABC203B] AtCoder Condominium 公寓房间号求和	循环结构, 数学基础
563	[ABC203C] Friends and Travel costs 最远村庄：贪心模拟	贪心, 排序
564	[ABC203D] Pond 二维区域中位数最小值	二分, 前缀和
565	[ABC203E] White Pawn 白棋移动可达范围统计	线段树, 离线算法, 模拟
566	[ABC203F] Weed 拔草问题：二分操作次数与贪心	二分, 贪心, DP
567	[ABC204A] Rock-paper-scissors 三人猜拳平局手势判断	条件结构, 数学基础
568	[ABC204B] Nuts 收获果实总数计算	循环结构, 条件结构
569	[ABC204C] Tour 有向图旅行路线计数	强连通分量, 拓扑排序
570	[ABC204D] Cooking 双烤箱任务调度	DP, 背包DP
571	[ABC204E] Rush Hour 2 动态边权最短路问题	单源最短路径, 优先队列, 模拟
572	[ABC204F] Hanjo 2 房间铺砖计数（状压DP与矩阵快速幂）	状压DP, 矩阵快速幂
573	[ABC205A] kcal 卡路里计算	数学基础
574	[ABC205B] Permutation Check 判断数列是否为1到N的排列	一维数组, 排序
575	[ABC205C] POW 幂次比较	数学基础, 条件结构
576	[ABC205D] Kth Excluded 有序序列中第K个缺失数	二分, STL
577	[ABC205E] White and Black Balls 带限制条件的白黑球排列计数	组合数学, 卡特兰数
578	[ABC205F] Grid and Tokens 网格棋子最大放置数	单源最短路径, 网络流
579	[ABC206A] Maxi-Buying 税后价格比较	数学基础, 条件结构
580	[ABC206B] Savings 求和达到目标值的最小天数	二分, 数学基础
581	[ABC206C] Swappable 不同元素对计数	数学基础, STL, 组合数学
582	[ABC206D] KAIBUNsyo 回文序列最小替换操作	并查集, 贪心, DFS, BFS
583	[ABC206E] Divide Both 满足条件的最大公约数数对计数	数论基础, 容斥原理, 暴力枚举
584	[ABC206F] Interval Game 2 区间选择博弈胜负判断	博弈论, DP
585	[ABC207A] Repression 三数选二求最大和	数学基础, 条件结构
586	[ABC207B] Hydrate 平衡球数：最小操作次数计算	递推, 算法复杂度, 模拟
587	[ABC207C] Many Segments 不同类型区间重叠对计数	暴力枚举, 模拟
588	[ABC207D] Congruence Points 二维点集旋转平移全等判断	计算几何, 哈希
589	[ABC207E] Mod i 分段求和取模方案数	DP, 前缀和, 暴力枚举
590	[ABC207F] Tree Patrolling 树上警卫方案数统计	树形结构, 树上DP
598	[ABC208A] Rolling Dice 掷骰子求和范围判断	数学基础, 数位DP
599	[ABC208B] Factorial Yen Coin 阶乘硬币最小支付数	贪心, 数论基础, DP
600	[ABC208C] Fair Candy Distribution 糖果分发：按ID排序分配	排序, 数学基础, 数论基础
601	[ABC208D] Shortest Path Queries 2 限制中间节点的最短路径和	floyd, 单源最短路径
602	[ABC208E] Digit Products 数位DP：各位数字乘积限制	数位DP, 计数DP
603	[ABC208F] Cumulative Sum 组合恒等式与矩阵快速幂	组合数学, 矩阵快速幂
604	[ABC209A] Counting 统计区间内整数数量	数学基础
605	[ABC209B] Can you buy them all? 计算折扣商品总价判断购买	循环结构, 条件结构
606	[ABC209C] Not Equal 序列构造计数（模运算）	贪心, 数学基础, 组合数学, 排序
607	[ABC209D] Collision 树上两点相遇点判断	LCA, 树形结构, 单源最短路径
608	[ABC209E] Shiritori 三字接龙游戏胜负判定	拓扑排序, 图论基础, DFS
